baseline,care_eff_mean,base_eff_mean,MWU_p_eff,WelchT_p_eff,care_fair_mean,base_fair_mean,MWU_p_fair,WelchT_p_fair,n_care,n_base
BASELINES,0.86,0.8699999999999999,0.003976751709788651,5.697340647456051e-57,0.74,0.52,0.003976751709788651,0.0,5,5
BASELINES,0.86,0.8299999999999998,0.003976751709788651,7.033753885747878e-59,0.74,0.6,0.003976751709788651,0.0,5,5
BASELINES,0.86,0.8,0.003976751709788651,0.0,0.74,0.58,0.003976751709788651,0.0,5,5
BASELINES,0.86,0.78,0.003976751709788651,0.0,0.74,0.7,0.003976751709788651,0.0,5,5
